Tiempo	LacI	TetR	cI
212.777	6.36072	1.86811	59.1344
213.113	5.96651	2.0235	59.1942
213.448	5.59771	2.20394	58.9256
213.784	5.25274	2.41229	58.3404
214.119	4.9301	2.65174	57.4584
214.455	4.6284	2.92582	56.3061
214.791	4.34633	3.23843	54.9149
215.126	4.08267	3.59383	53.3199
215.462	3.83627	3.99671	51.5575
215.797	3.60608	4.45211	49.6643
216.133	3.39109	4.9655	47.6753
216.469	3.19039	5.5427	45.6228
216.804	3.00312	6.18986	43.5363
217.14	2.82847	6.91342	41.4413
217.475	2.66573	7.72004	39.3596
217.811	2.5142	8.61646	37.3096
218.146	2.37327	9.60942	35.3057
218.482	2.24237	10.7055	33.3595
218.818	2.12098	11.9108	31.4797
219.153	2.00864	13.2308	29.6724
219.489	1.90495	14.6704	27.9418
219.824	1.80953	16.233	26.2902
220.16	1.72208	17.9206	24.7187
220.495	1.64233	19.7334	23.2272
220.831	1.57008	21.6697	21.8144
221.167	1.50518	23.725	20.4788
221.502	1.44752	25.8923	19.218
221.838	1.39706	28.1616	18.0295
222.186	1.3523	30.6131	16.8682
222.535	1.31544	33.1419	15.7783
222.904	1.28524	35.8766	14.6991
223.273	1.26442	38.6415	13.6918
223.642	1.25342	41.401	12.7523
224.011	1.25282	44.1154	11.8766
224.379	1.26334	46.7415	11.0607
224.748	1.28589	49.2336	10.3009
225.117	1.32154	51.5446	9.59351
225.486	1.37157	53.6272	8.93521
225.855	1.4375	55.4361	8.32272
226.224	1.52107	56.9295	7.753
226.552	1.61186	57.9633	7.28001
226.88	1.71986	58.6998	6.83665
227.208	1.84693	59.1255	6.42112
227.536	1.99515	59.2346	6.03173
227.864	2.16688	59.0288	5.66688
228.192	2.36472	58.5177	5.32508
228.52	2.59158	57.7183	5.00491
228.848	2.8507	56.654	4.70505
229.176	3.1456	55.3533	4.42427
229.504	3.4802	53.8482	4.16139
229.832	3.85874	52.1725	3.91533
230.16	4.28583	50.3605	3.68507
230.488	4.76644	48.4454	3.46967
230.816	5.30589	46.4586	3.26823
231.144	5.90981	44.4285	3.07994
231.472	6.58411	42.3806	2.90403
231.8	7.33493	40.3368	2.73978
232.128	8.16855	38.3156	2.58654
232.456	9.09128	36.3321	2.44371
232.784	10.1093	34.3985	2.31073
233.112	11.2287	32.5243	2.18709
233.44	12.4549	30.7165	2.07234
233.767	13.7927	28.9799	1.96607
234.095	15.2462	27.3176	1.8679
234.423	16.8182	25.7315	1.77751
234.751	18.5099	24.2219	1.69465
235.079	20.3209	22.7885	1.61907
235.407	22.2488	21.4299	1.5506
235.735	24.2889	20.1445	1.48912
236.063	26.4337	18.93	1.43454
236.406	28.7746	17.7346	1.38488
236.748	31.2038	16.6106	1.34277
237.109	33.8365	15.501	1.30672
237.47	36.5209	14.4631	1.27937
237.847	39.3512	13.4499	1.26046
238.224	42.1656	12.5066	1.25195
238.601	44.9208	11.6288	1.25451
238.979	47.5696	10.8125	1.26897
239.356	50.0625	10.0535	1.29634
239.733	52.3489	9.34821	1.33785
240.069	54.1687	8.76296	1.38782
240.404	55.7519	8.21491	1.45132
240.74	57.0681	7.7018	1.52971
241.076	58.091	7.22149	1.62458
241.411	58.8003	6.77195	1.7377
241.747	59.1829	6.35127	1.8711
242.082	59.2336	5.95765	2.02706
242.418	58.9561	5.58941	2.20814
242.753	58.3622	5.24496	2.41721
243.089	57.4719	4.92281	2.65745
243.425	56.3119	4.62157	2.93241
243.76	54.9138	4.33994	3.24599
244.096	53.3127	4.07668	3.60247
244.431	51.5451	3.83067	4.00655
244.767	49.6475	3.60083	4.46328
245.103	47.6549	3.38618	4.97813
245.438	45.5997	3.1858	5.55693
245.774	43.5111	2.99882	6.20586
246.109	41.4147	2.82446	6.93134
